,src_id,station_na,station_fi,historic_c,station_la,station_lo,station_el,first_year,last_year,geometry,grid_id,grid_id_distance,Slope_resorted,Slope_sorted
143,300,WALLINGTON,wallington,northumberland,55.154,-1.945,150,1994,2020,POINT (-1.945 55.154),98,13605.339969157887,3.52,4.89
145,454,"CAMBRIDGE, BOTANIC GARDEN",cambridge-botanic-garden,cambridgeshire,52.194,0.129,13,1898,2020,POINT (0.129 52.194),90,314790.062787317,3.24,10.17
146,539,BUXTON,buxton,derbyshire,53.258,-1.914,307,1875,2020,POINT (-1.914 53.258),90,118803.43261644695,7.82,9.42
147,628,IPSTONES EDGE,ipstones-edge,staffordshire,53.056,-1.951,340,1994,2020,POINT (-1.951 53.056),90,138427.38894797422,6.76,9.33
148,638,PRESTON MONTFORD,preston-montford,shropshire,52.725,-2.842,71,1976,2020,POINT (-2.842 52.725),30,170726.54916912786,5.73,11.7
149,782,BOGNOR REGIS,bognor-regis,west-sussex,50.782,-0.677,7,1901,2020,POINT (-0.677 50.782),90,391319.5971046287,4.7,13.31
150,808,EASTBOURNE,eastbourne,east-sussex,50.759,0.283,15,1888,2020,POINT (0.283 50.759),90,437060.73246139515,6.02,14.25
151,818,HASTINGS,hastings,east-sussex,50.856,0.57,45,1961,2020,POINT (0.57 50.856),90,445409.49561649264,12.41,15.27
152,17210,ALWEN,alwen,clwyd,53.062,-3.554,345,1961,2020,POINT (-3.554 53.062),0,136260.81329713398,12.57,27.62
153,843,"BOURNEMOUTH, KINGS PARK",bournemouth-kings-park,dorset,50.734,-1.824,27,1981,2020,POINT (-1.824 50.734),90,370902.7122178036,3.75,4.67
155,878,WIGHT: SHANKLIN,wight-shanklin,isle-of-wight,50.624,-1.181,55,1947,2020,POINT (-1.181 50.624),90,391524.5234246387,12.62,15.74
156,926,"BENMORE, YOUNGER BOTANIC GARDEN",benmore-younger-botanic-garden,argyll-in-strathclyde-region,56.028,-4.985,12,1961,2020,POINT (-4.985 56.028),9,168623.03906129813,6.66,16.6
157,954,MUGDOCK PARK,mugdock-park,stirling-in-central-region,55.973,-4.33,165,1990,2020,POINT (-4.33 55.973),9,111014.22422247262,6.78,9.04
158,980,"MOTHERWELL, STRATHCLYDE PARK",motherwell-strathclyde-park,lanarkshire,55.786,-4.023,22,1979,2020,POINT (-4.023 55.786),9,75803.81063716924,6.4,7.78
159,996,HUNTERSTON NO 3,hunterston-no-3,ayrshire,55.723,-4.893,8,1964,2020,POINT (-4.893 55.723),9,148084.24096217102,6.52,9.34
160,25618,BRAMPTON NO 3,brampton-no-3,cumbria,54.935,-2.735,117,2001,2020,POINT (-2.735 54.935),55,4501.068191298055,4.88,5.42
161,9280,WESTONZOYLAND,westonzoyland,somerset,51.115,-2.922,3,2007,2020,POINT (-2.922 51.115),30,330963.45427546144,2.95,3.46
162,1141,PRESTATYN,prestatyn,clwyd,53.342,-3.412,4,1932,2020,POINT (-3.412 53.342),0,108176.40532215955,3.32,5.09
163,1149,COLWYN BAY,colwyn-bay,clwyd,53.291,-3.715,36,1929,2020,POINT (-3.715 53.291),0,115699.76096696935,11.26,10.58
165,1173,ARTHOG NO 2,arthog-no-2,gwynedd,52.718,-4.015,7,1988,2020,POINT (-4.015 52.718),0,178864.17834320653,16.99,32.35
167,1217,ORIELTON,orielton,dyfed,51.653,-4.96,60,1964,2020,POINT (-4.96 51.653),0,314375.238751773,3.56,6.2
168,1222,TENBY,tenby,dyfed,51.669,-4.708,5,1969,2020,POINT (-4.708 51.669),0,301797.98421203706,16.98,26.46
169,1222,TENBY,tenby,dyfed,51.669,-4.708,5,1969,2020,POINT (-4.708 51.669),0,301797.98421203706,6.67,9.73
170,1227,SARON,saron,dyfed,52.013,-4.37,152,1988,2020,POINT (-4.37 52.013),0,257116.1070560346,7.01,14.58
171,1243,VELINDRE,velindre,powys-south,52.026,-3.187,152,1982,2020,POINT (-3.187 52.026),10,239852.735628492,12.11,14.82
172,1245,LLANGUNLLO NO 2,llangunllo-no-2,powys-south,52.332,-3.133,310,1989,2020,POINT (-3.133 52.332),30,209448.33036943193,12.08,39.58
173,1291,NETTLECOMBE,nettlecombe,somerset,51.131,-3.35,96,1968,2020,POINT (-3.35 51.131),10,329113.477181421,10.76,19.69
174,1324,FONTMELL MAGNA,fontmell-magna,dorset,50.951,-2.185,90,1988,2020,POINT (-2.185 50.951),90,348449.40189621755,13.37,21.05
175,1362,SLAPTON,slapton,devon,50.293,-3.652,32,1961,2020,POINT (-3.652 50.293),0,413305.42886847886,6.42,11.45
