ID,ID_TYPE,OB_DATE,VERSION_NUM,MET_DOMAIN_NAME ,OB_END_CTIME,OB_DAY_CNT,SRC_ID,REC_ST_IND,PRCP_AMT,OB_DAY_CNT_Q,PRCP_AMT_Q,METO_STMP_TIME,MIDAS_STMP_ETIME,PRCP_AMT_J
256225, RAIN, 1853-03-11 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-03-11 00:00, 1, DLY3208, 900, 1, 1530, 1001, 23.6, 0, 9, , ,
256225, RAIN, 1853-03-12 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-03-12 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-03-13 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-03-13 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-03-14 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-03-14 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-03-15 00:00, 1, DLY3208, 900, 1, 606, 1001, 3.4, 0, 9, , ,
947811, RAIN, 1853-03-15 00:00, 1, DLY3208, 900, 1, 1530, 1001, 11.2, 0, 9, , ,
256225, RAIN, 1853-03-16 00:00, 1, DLY3208, 900, 1, 606, 1001, 4.4, 0, 9, , ,
947811, RAIN, 1853-03-16 00:00, 1, DLY3208, 900, 1, 1530, 1001, 8.4, 0, 9, , ,
256225, RAIN, 1853-03-17 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-03-17 00:00, 1, DLY3208, 900, 1, 1530, 1001, 1.8, 0, 9, , ,
256225, RAIN, 1853-03-18 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-03-18 00:00, 1, DLY3208, 900, 1, 1530, 1001, 1.8, 0, 9, , ,
256225, RAIN, 1853-03-19 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-03-19 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-03-20 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-03-20 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-03-21 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-03-21 00:00, 1, DLY3208, 900, 1, 1530, 1001, 6.6, 0, 9, , ,
256225, RAIN, 1853-03-22 00:00, 1, DLY3208, 900, 1, 606, 1001, .3, 0, 9, , ,
947811, RAIN, 1853-03-22 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-03-23 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-03-23 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-03-24 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-03-24 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-03-25 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
947811, RAIN, 1853-03-25 00:00, 1, DLY3208, 900, 1, 1530, 1001, 0, 0, 9, , ,
256225, RAIN, 1853-03-26 00:00, 1, DLY3208, 900, 1, 606, 1001, 0, 0, 9, , ,
